time_sec,speed_kmh
0,35
1,38
2,37
3,33
4,30
5,27
6,28
7,1
8,1
9,4
10,6
11,11
12,14
13,13
14,15
15,17
16,1
17,15
18,19
19,23
20,23
21,23
22,16
23,10
24,8
25,25
26,25
27,25
28,25
29,26
