time_sec,speed_kmh
0,23
1,27
2,26
3,26
4,26
5,24
6,19
7,15
8,10
9,5
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
